"event","level","Rank","Name","NAT","round","DD","Score","judge_num","judge_name"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,3," LEE William"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,4," REIS Violeta"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,6," RAO Lang"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","4",3.1,6.5,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,5.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6,4," SANTOS Isabel"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",24,"JANSEN Inge","NED","5",3,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,7,6," PRANARTA Pranarta"
