"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","9.0","8.5","9.0","9.0","9.0","8.5","8.5","90.10","1","90.10","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5154B","3.4","8.0","8.0","8.0","7.5","8.0","8.0","8.0","81.60","=2","171.70","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","8.5","9.5","9.5","9.0","8.5","9.0","9.0","94.50","1","266.20","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","7.5","8.0","8.0","7.5","8.0","8.0","8.0","86.40","2","352.60","2","0.25"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5337D","3.5","9.0","9.0","9.0","8.5","9.5","9.0","9.0","94.50","1","447.10","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","8.0","9.0","8.5","7.5","8.5","8.0","8.0","93.10","1","540.20","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",1,"5154B","3.4","8.0","8.0","8.0","8.0","8.0","8.0","8.0","81.60","2","81.60","2","8.50"," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",2,"307C","3.5","8.5","8.0","8.5","8.5","8.0","8.5","8.5","89.25","1","170.85","2","0.85"," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",3,"407C","3.4","8.5","8.5","8.5","9.0","9.0","8.5","9.0","88.40","2","259.25","2","6.95"," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",4,"5156B","3.9","8.5","8.0","8.0","8.5","8.0","8.0","8.0","93.60","1","352.85","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",5,"109C","3.8","8.0","8.0","8.0","8.5","8.0","8.5","8.0","91.20","2","444.05","2","3.05"," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",6,"207C","3.6","7.0","6.5","6.5","6.5","7.0","7.0","7.0","73.80","3","517.85","2","22.35"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",1,"205B","3.0","7.0","6.5","7.0","6.5","7.0","7.5","7.0","63.00","4","63.00","4","27.10"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",2,"407C","3.4","8.0","8.5","7.5","8.0","7.5","8.0","8.0","81.60","=2","144.60","3","27.10"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",3,"109C","3.8","7.5","7.5","7.0","7.0","7.0","7.0","7.5","81.70","3","226.30","3","39.90"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",4,"307C","3.5","8.0","7.5","8.5","8.0","8.0","7.5","8.0","84.00","3","310.30","3","42.55"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",5,"5154B","3.4","8.0","8.5","8.0","8.5","8.0","8.5","8.5","85.00","3","395.30","3","51.80"," men's 3m springboard","semifinal a"
"3","CASTILLO Yahel","MEX",6,"5156B","3.9","7.5","6.5","7.0","6.5","6.5","6.5","6.5","76.05","2","471.35","3","68.85"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",1,"405B","3.0","7.5","7.5","7.5","7.0","7.5","7.5","7.5","67.50","3","67.50","3","22.60"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",2,"107B","3.1","7.5","7.5","6.5","7.0","6.5","7.0","7.0","65.10","4","132.60","4","39.10"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",3,"5154B","3.4","7.5","7.0","7.0","6.5","7.5","7.0","7.0","71.40","4","204.00","4","62.20"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",4,"205B","3.0","7.5","7.5","7.5","7.0","7.0","7.0","7.5","66.00","4","270.00","4","82.85"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",5,"307C","3.5","4.0","5.0","4.5","4.0","4.0","4.5","4.5","45.50","4","315.50","4","131.60"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",6,"5337D","3.5","6.5","7.0","7.0","7.0","6.5","6.0","6.5","70.00","4","385.50","4","154.70"," men's 3m springboard","semifinal a"
"1","HE Zi","CHN",1,"405B","3.0","8.5","8.0","8.5","8.5","8.5","8.5","8.5","76.50","1","76.50","1","","women's 3m springboard","semifinal a"
