"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","ZAKHAROV Ilia","RUS",1,"407C","3.4","8.5","8.0","7.5","8.0","8.5","8.0","8.5","83.30","1","83.30","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",2,"207C","3.6","8.5","8.5","7.5","8.5","8.0","8.0","8.5","90.00","1","173.30","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",3,"307C","3.5","6.5","6.0","6.5","6.0","6.0","6.0","6.0","63.00","4","236.30","2","2.80"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",4,"5337D","3.5","5.0","5.5","6.0","5.5","5.0","5.5","6.0","57.75","4","294.05","2","35.05"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",5,"5154B","3.4","8.0","8.0","8.0","7.5","8.0","8.0","8.0","81.60","2","375.65","2","35.35"," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",6,"109C","3.8","8.0","8.0","8.0","8.5","8.0","8.5","8.0","91.20","1","466.85","1",""," men's 3m springboard","semifinal a"
"2","CAO Yuan","CHN",1,"407C","3.4","8.0","8.0","8.5","9.0","8.0","8.0","8.0","81.60","2","81.60","2","1.70"," men's 3m springboard","semifinal a"
"2","CAO Yuan","CHN",2,"5337D","3.5","8.0","7.5","8.5","8.0","8.0","7.5","8.0","84.00","2","165.60","2","7.70"," men's 3m springboard","semifinal a"
"2","CAO Yuan","CHN",3,"307C","3.5","6.5","6.0","7.0","7.0","7.0","7.0","7.0","73.50","=1","239.10","1",""," men's 3m springboard","semifinal a"
"2","CAO Yuan","CHN",4,"207C","3.6","8.5","9.0","8.5","7.5","8.5","8.0","8.0","90.00","1","329.10","1",""," men's 3m springboard","semifinal a"
