"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","8.5","8.0","8.5","8.0","8.5","8.0","8.5","85.00","1","85.00","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5154B","3.4","9.0","8.5","8.5","8.5","8.5","8.0","8.5","86.70","1","171.70","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","8.5","9.0","8.5","8.5","9.0","8.5","8.5","89.25","1","260.95","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","7.5","8.5","8.0","8.0","8.0","8.0","8.0","86.40","1","347.35","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5337D","3.5","8.5","8.5","8.5","8.0","8.0","8.5","8.0","87.50","2","434.85","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","8.5","8.5","8.5","8.0","7.5","8.0","8.0","93.10","1","527.95","1",""," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",1,"205B","3.0","8.0","8.0","7.5","7.5","8.5","7.5","7.5","69.00","3","69.00","3","16.00"," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",2,"307C","3.5","8.5","8.0","8.0","8.5","8.0","8.5","8.0","85.75","2","154.75","3","16.95"," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",3,"5355B","3.7","8.0","8.0","8.0","8.5","8.0","8.5","8.0","88.80","2","243.55","2","17.40"," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",4,"407C","3.4","8.0","8.0","7.5","8.0","8.0","7.5","8.0","81.60","3","325.15","2","22.20"," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",5,"109C","3.8","8.5","8.5","8.0","9.0","8.5","8.5","9.0","96.90","1","422.05","2","12.80"," men's 3m springboard","semifinal a"
"2","HAUSDING Patrick","GER",6,"5154B","3.4","8.0","8.0","8.0","8.0","8.0","8.5","8.5","81.60","2","503.65","2","24.30"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",1,"407C","3.4","8.0","8.0","7.5","8.0","8.5","8.0","8.0","81.60","2","81.60","2","3.40"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",2,"5353B","3.3","7.5","8.0","7.0","7.5","7.0","7.5","7.5","74.25","3","155.85","2","15.85"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",3,"307C","3.5","7.5","7.0","7.5","7.0","7.5","7.0","6.5","75.25","3","231.10","3","29.85"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",4,"109C","3.8","7.5","7.5","7.5","8.0","7.0","7.0","7.0","83.60","2","314.70","3","32.65"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",5,"205B","3.0","8.0","8.5","8.0","7.5","7.5","8.0","8.5","72.00","4","386.70","3","48.15"," men's 3m springboard","semifinal a"
"3","KVASHA Illya","UKR",6,"5154B","3.4","7.5","7.0","7.0","7.5","7.5","7.5","7.0","74.80","4","461.50","3","66.45"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",1,"405B","3.0","7.0","7.5","7.5","7.5","7.5","7.5","7.5","67.50","4","67.50","4","17.50"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",2,"107B","3.1","7.5","7.0","8.0","7.5","7.5","7.0","7.5","69.75","4","137.25","4","34.45"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",3,"5154B","3.4","6.0","6.5","6.5","6.5","6.5","6.5","6.5","66.30","4","203.55","4","57.40"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",4,"205B","3.0","6.5","6.5","7.0","6.5","7.0","6.5","6.5","58.50","4","262.05","4","85.30"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",5,"307C","3.5","7.0","6.5","7.0","7.0","7.0","7.0","7.0","73.50","3","335.55","4","99.30"," men's 3m springboard","semifinal a"
"4","GAGNE Philippe","CAN",6,"5337D","3.5","7.5","7.5","7.5","7.5","8.0","8.0","7.5","78.75","3","414.30","4","113.65"," men's 3m springboard","semifinal a"
"1","HE Zi","CHN",1,"405B","3.0","8.5","8.5","8.5","7.5","8.0","8.0","8.0","73.50","1","73.50","1","","women's 3m springboard","semifinal a"
"1","HE Zi","CHN",2,"205B","3.0","8.0","8.0","8.0","8.0","8.5","8.0","8.0","72.00","1","145.50","1","","women's 3m springboard","semifinal a"
"1","HE Zi","CHN",3,"305B","3.0","8.5","8.5","9.0","8.5","9.0","8.5","8.5","76.50","1","222.00","1","","women's 3m springboard","semifinal a"
"1","HE Zi","CHN",4,"107B","3.1","8.0","8.0","8.0","8.0","8.0","8.5","8.0","74.40","1","296.40","1","","women's 3m springboard","semifinal a"
"1","HE Zi","CHN",5,"5152B","3.0","8.0","8.0","8.0","8.0","8.5","8.0","8.5","72.00","1","368.40","1","","women's 3m springboard","semifinal a"
"2","HERNANDEZ Dolores","MEX",1,"405B","3.0","6.0","6.5","6.0","7.0","7.0","6.5","6.5","58.50","2","58.50","2","15.00","women's 3m springboard","semifinal a"
"2","HERNANDEZ Dolores","MEX",2,"107B","3.1","4.0","4.5","5.0","5.5","5.5","4.5","4.0","43.40","2","101.90","2","43.60","women's 3m springboard","semifinal a"
