"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal b",5,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei"
" men's 3m springboard","semifinal b",6,"NG Do Rosario","SEUFERTSHOLTIS Chris","FRASER Lindsey","STRITTBURK Carmen","PIKTURNIENE Ale","GILDEMEISTER Peter","BEKETOV Andrei"
"women's 3m springboard","semifinal b",1,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter"
"women's 3m springboard","semifinal b",2,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter"
"women's 3m springboard","semifinal b",3,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter"
"women's 3m springboard","semifinal b",4,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter"
"women's 3m springboard","semifinal b",5,"OGDEN Jane","VD VOORT Ronald","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",1,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",2,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",3,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",4,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",5,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
" men's 10m platform","semifinal b",6,"BEKETOV Andrei","VD VOORT Ronald","FRASER Lindsey","STRITTBURK Carmen","NG Do Rosario","SEUFERTSHOLTIS Chris","GILDEMEISTER Peter"
"women's 10m platform","semifinal b",1,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald"
"women's 10m platform","semifinal b",2,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald"
"women's 10m platform","semifinal b",3,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald"
"women's 10m platform","semifinal b",4,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald"
"women's 10m platform","semifinal b",5,"OGDEN Jane","PIKTURNIENE Ale","GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","BEKETOV Andrei","VD VOORT Ronald"
" men's 3m springboard","final",1,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
" men's 3m springboard","final",2,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
" men's 3m springboard","final",3,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
" men's 3m springboard","final",4,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
" men's 3m springboard","final",5,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
" men's 3m springboard","final",6,"GILDEMEISTER Peter","STRITTBURK Carmen","PIKTURNIENE Ale","NG Do Rosario","BEKETOV Andrei","SEUFERTSHOLTIS Chris","FRASER Lindsey"
